columna,tipo_lectura,filas,faltantes,porcentaje_faltantes,valores_distintos
codigoOC,string,11177,0,0.00000000,541
FechaEnvioOC,string,11177,0,0.00000000,116
NombreOC,string,11177,0,0.00000000,538
DescripcionOC,string,11177,0,0.00000000,541
EstadoOC,string,11177,0,0.00000000,3
ProcedenciaOC,string,11177,0,0.00000000,1
MonedaOC,string,11177,0,0.00000000,4
MontoNetoOC,string,11177,0,0.00000000,514
DescuentosOC,string,11177,0,0.00000000,1
CargosOC,string,11177,0,0.00000000,24
ImpuestosOC,string,11177,0,0.00000000,488
MontoTotalOC,string,11177,0,0.00000000,519
ImpuestosOC_CLP,string,11177,0,0.00000000,488
MontoNetoOC_CLP,string,11177,0,0.00000000,514
MetodoPago,string,11177,0,0.00000000,1
TipoDespacho,string,11177,0,0.00000000,5
Financiamiento,string,11177,0,0.00000000,183
UnidadCompra,string,11177,0,0.00000000,1
UnidadCompraRUT,string,11177,0,0.00000000,1
RegionUnidadCompra,string,11177,0,0.00000000,1
entCode,string,11177,0,0.00000000,1
Institucion,string,11177,0,0.00000000,1
Sector,string,11177,0,0.00000000,1
Proveedor,string,11177,0,0.00000000,277
ProveedorRUT,string,11177,0,0.00000000,277
ActividadProveedor,string,11177,2695,24.11201575,189
TamanoProveedor,string,11177,0,0.00000000,5
RegionProveedor,string,11177,150,1.34204169,11
RubroN1,string,11177,0,0.00000000,53
RubroN2,string,11177,0,0.00000000,191
RubroN3,string,11177,0,0.00000000,487
CodigoProductoONU,string,11177,0,0.00000000,994
ONUProducto,string,11177,0,0.00000000,985
NombreItem,string,11177,0,0.00000000,985
DescripcionItem,string,11177,0,0.00000000,3188
CantidadItem,string,11177,0,0.00000000,97
UnidadMedida,string,11177,0,0.00000000,34
MonedaItem,string,11177,0,0.00000000,4
MontoNetoItem,string,11177,0,0.00000000,1936
DescuentoItem,string,11177,0,0.00000000,1
CargosItem,string,11177,0,0.00000000,1
ImpuestoEspecificoItem,string,11177,11177,100.00000000,0
MontoTotalItem,string,11177,0,0.00000000,2120
MontoNetoItemCLP,string,11177,0,0.00000000,2121
CodigoCotizacion,string,11177,0,0.00000000,541
NombreCotizacion,string,11177,0,0.00000000,539
DescripcionCotizacion,string,11177,0,0.00000000,541
FechaPublicacionCotizacion,string,11177,0,0.00000000,118
FechaCierreCotizacion,string,11177,0,0.00000000,123
MontoDisponible,string,11177,0,0.00000000,288
DescripcionProducto,string,11177,0,0.00000000,3195
CodigoProductoCotizadoONU,string,11177,0,0.00000000,994
ProductoCotizado,string,11177,0,0.00000000,985
CantidadSolicitada,string,11177,0,0.00000000,97
ProveedorCotizacion,string,11177,0,0.00000000,277
RUTProveedorCotizacion,string,11177,0,0.00000000,277
DetalleCotizacion,string,11177,0,0.00000000,477
PrecioUnitarioCotizacion,string,11177,0,0.00000000,1927
PrecioTotalItemCotizacion,string,11177,0,0.00000000,2112
MontoNetoCotizacion,string,11177,0,0.00000000,516
MontoDespachoCotizacion,string,11177,0,0.00000000,24
MontoTotalCotizacion,string,11177,0,0.00000000,519
ProveedorSeleccionado,string,11177,0,0.00000000,1
